ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²)
-2.3894,8.1068,5.6264
-2.2458,8.3318,5.5785
-2.2458,8.3318,5.5785
-2.6815,8.3318,5.8179
-2.6815,8.3318,5.8179
-2.4134,8.2313,5.8371
-1.4892,8.4803,5.703
-1.4892,8.4803,5.703
-2.5379,8.4036,5.9472
-2.5379,8.4036,5.9472
-2.4421,8.1977,5.8371
-2.4421,8.1977,5.8371
-1.8818,8.5473,5.6695
-1.8818,8.5473,5.6695
-2.624,8.1451,6.3638
-2.624,8.1451,6.3638
-2.3942,7.9775,6.1914
-2.3942,7.9775,6.1914
-1.9441,8.078,6.1627
-1.9441,8.078,6.1627
-2.648,7.829,6.3925
-2.648,7.829,6.3925
-2.1739,7.6567,5.952
-2.1739,7.6567,5.952
-2.0351,7.5944,5.7892
-2.0351,7.5944,5.7892
-2.6145,7.3646,5.6072
-2.6145,7.3646,5.6072
-2.2027,7.3694,5.2912
-2.2027,7.3694,5.2912
-2.0494,7.4651,5.296
-2.0494,7.4651,5.296
-2.2122,7.3933,5.3965
-1.8627,7.3071,5.0901
-1.8627,7.3071,5.0901
-2.3415,7.2449,5.1523
-2.3415,7.2449,5.1523
-2.2075,7.2544,5.1667
-2.3607,7.1251,5.3391
-2.3607,7.1251,5.3391
-2.083,7.331,5.3295
-2.083,7.331,5.3295
-2.4612,7.3454,5.3774
-2.4612,7.3454,5.3774
-2.557,7.3789,5.5115
-2.557,7.4172,5.1763
-2.1069,7.4172,5.1763
-2.1069,7.4172,5.1763
-2.2936,7.4316,5.3917
-2.2936,7.4316,5.3917
-2.2122,7.4747,5.8897
-2.2122,7.4747,5.8897
-2.6576,7.2975,6.0669
-2.6576,7.2975,6.0669
-2.1452,7.5896,5.9233
-2.1452,7.5896,5.9233
-2.6767,7.4268,5.9185
-2.6767,7.4268,5.9185
-2.399,7.4077,5.6647
-2.4134,7.3981,5.5881
-2.4134,7.3981,5.5881
-2.4038,7.7381,5.7892
-2.4038,7.7381,5.7892
-3.0119,7.5034,5.9376
-3.0119,7.5034,5.9376
-2.3846,7.5417,5.8754
-2.3846,7.5417,5.8754
-2.2984,7.5034,6.1627
-2.2984,7.5034,6.1627
-2.2697,7.4747,6.1531
-2.2697,7.4747,6.1531
-2.5331,7.5753,5.9951
-2.5331,7.5753,5.9951
-2.4373,7.6279,5.4109
-2.4373,7.6279,5.4109
-2.4469,7.4986,5.3534
-2.4469,7.4986,5.3534
-2.0016,7.5034,5.4875
-2.0016,7.5034,5.4875
-2.2027,7.5417,5.9807
-2.2027,7.5417,5.9807
-2.4229,7.4124,6.0765
-2.4229,7.4124,6.0765
-2.0207,7.5034,5.6982
-2.332,7.5082,5.7652
-2.332,7.5082,5.7652
-2.5474,7.4843,5.8131
-2.5474,7.4843,5.8131
-2.3703,7.2065,5.4923
-2.3703,7.2065,5.4923
-1.5897,7.4172,5.1188
-1.5897,7.4172,5.1188
-1.2019,8.4467,4.3335
-1.2019,8.4467,4.3335
-3.7924,7.5226,4.5681
-3.7924,7.5226,4.5681
-3.7924,7.5226,4.5681
-1.834,7.8721,3.6679
-2.3559,8.3558,4.8937
-2.3559,8.3558,4.8937
-1.6185,8.5377,5.3295
-1.6185,8.5377,5.3295
-3.0263,7.6902,5.9424
-1.0391,8.8921,5.2577
-1.0391,8.8921,5.2577
-1.8579,8.3845,5.5019
-1.8579,8.3845,5.5019
-2.5091,8.1355,5.9807
-2.5091,8.1355,5.9807
