ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²)
-0.4262,-1.9249,0.0718
-0.9529,-2.9305,2.4852
-0.7661,-4.7884,4.7166
-0.7661,-4.7884,4.7166
2.1835,-5.612,4.0175
2.1835,-5.612,4.0175
2.9401,-5.6695,4.0318
2.9401,-5.6695,4.0318
2.9401,-5.6695,4.0318
3.6679,-5.9089,3.3423
3.6679,-5.9089,3.3423
4.8937,-6.1723,1.2785
4.8937,-6.1723,1.2785
3.3902,-8.5329,0.4597
3.3902,-8.5329,0.4597
-11.1474,-13.3932,-36.502
-11.1474,-13.3932,-36.502
-18.1959,-17.4442,3.0981
-18.1959,-17.4442,3.0981
-23.2429,-12.785,-0.6608
-23.2429,-12.785,-0.6608
-17.9469,-8.1499,-5.5498
-14.1402,-6.7708,-2.6624
-14.1402,-6.7708,-2.6624
-8.758,-5.2864,-2.9018
-8.758,-5.2864,-2.9018
-4.4388,-8.3031,-1.8818
-4.4388,-8.3031,-1.8818
5.5833,-14.1641,-13.7044
5.5833,-14.1641,-13.7044
1.5945,-15.4809,-0.6608
1.5945,-15.4809,-0.6608
-0.5938,-14.9063,-1.5993
-0.5938,-14.9063,-1.5993
-1.1827,-10.3286,2.1165
-1.1827,-10.3286,2.1165
-0.8811,-8.1355,1.5945
-0.8811,-8.1355,1.5945
-0.8571,-8.1211,1.3982
-0.8571,-8.1211,1.3982
-0.8332,-8.7484,1.5658
-0.8332,-8.7484,1.5658
-2.0063,-9.1794,1.6328
-2.0063,-9.1794,1.6328
-3.395,-9.4427,1.3408
-3.395,-9.4427,1.3408
-3.6344,-9.2847,1.7669
-3.6344,-9.2847,1.7669
-2.6001,-8.6287,2.7725
-2.6001,-8.6287,2.7725
-2.4804,-7.4412,2.1356
-2.4804,-7.4412,2.1356
-2.9592,-6.3207,0.7757
-2.9592,-6.3207,0.7757
-2.715,-6.0334,0.1101
-2.715,-6.0334,0.1101
-2.9688,-6.6224,-0.6416
-2.9688,-6.6224,-0.6416
-4.4915,-8.0732,-0.9002
-4.4915,-8.0732,-0.9002
-5.8514,-9.2847,-0.656
-5.8514,-9.2847,-0.656
-6.6655,-9.5481,0.1197
-6.6655,-9.5481,0.1197
-6.8714,-9.5241,0.9768
-6.8714,-9.5241,0.9768
-6.8043,-8.849,1.2067
-6.8043,-8.849,1.2067
-6.2393,-8.6431,0.091
-6.2393,-8.6431,0.091
-5.6455,-8.8921,-0.6081
-5.6455,-8.8921,-0.6081
-5.1427,-9.5289,-1.81
-5.4205,-9.912,-2.0494
-5.4205,-9.912,-2.0494
-5.5354,-11.2527,-2.3703
-5.5354,-11.2527,-2.3703
-6.0669,-11.066,-5.1715
-6.0669,-11.066,-5.1715
-7.0677,-9.4523,-4.0606
-7.0677,-9.4523,-4.0606
-8.2983,-9.323,-0.7518
-8.2983,-9.323,-0.7518
-10.0892,-9.6103,-3.6679
-10.0892,-9.6103,-3.6679
-12.8569,-7.9487,-6.924
-12.8569,-7.9487,-6.924
-12.3732,-9.1794,-1.7909
-12.3732,-9.1794,-1.7909
-9.9647,-13.4123,-1.4748
-9.9647,-13.4123,-1.4748
-6.7756,-14.4466,-0.3879
-6.7756,-14.4466,-0.3879
-5.8323,-16.1273,-0.4645
-5.8323,-16.1273,-0.4645
-6.0621,-19.5846,1.0487
-5.0661,-21.2557,0.5219
-5.0661,-21.2557,0.5219
-1.834,-21.5334,-0.3879
-1.834,-21.5334,-0.3879
2.0399,-16.496,2.1644
2.0399,-16.496,2.1644
1.6089,-11.6693,7.355
1.6089,-11.6693,7.355
-0.7326,-7.695,4.9608
-0.7326,-7.695,4.9608
0.182,-4.8028,1.4413
0.182,-4.8028,1.4413
-0.0431,-2.0925,-3.304
-0.0431,-2.0925,-3.304
-0.1676,-2.3367,-0.3639
-0.1676,-2.3367,-0.3639
0.0048,-3.984,3.2465
0.0048,-3.984,3.2465
2.5091,-5.1236,4.0989
2.5091,-5.1236,4.0989
3.3758,-5.2433,4.0127
3.3758,-5.2433,4.0127
3.2848,-4.9416,4.209
3.2848,-4.9416,4.209
3.2848,-4.9416,4.209
3.5003,-4.8794,2.9784
3.5003,-4.8794,2.9784
4.0079,-6.0908,1.3312
4.0079,-6.0908,1.3312
1.901,-10.0173,0.1532
-14.0013,-17.8607,-20.8296
-14.0013,-17.8607,-20.8296
-14.0013,-17.8607,-20.8296
-16.3428,-17.923,3.5051
-16.3428,-17.923,3.5051
-22.97,-11.2144,-2.6193
-22.97,-11.2144,-2.6193
-12.8138,-6.9767,-2.4517
-12.8138,-6.9767,-2.4517
-8.1547,-2.964,0.4262
-8.1547,-2.964,0.4262
-5.5881,-3.9169,0.249
-5.5881,-3.9169,0.249
-2.4565,-8.5808,0.3831
-2.4565,-8.5808,0.3831
2.5857,-18.5886,-5.0996
2.5857,-18.5886,-5.0996
-1.0918,-19.3835,-3.9456
-1.0918,-19.3835,-3.9456
-3.6823,-16.5918,2.7342
-3.6823,-16.5918,2.7342
-2.4612,-9.1554,4.3287
-2.4612,-9.1554,4.3287
-1.3264,-6.924,1.3934
-1.3264,-6.924,1.3934
-0.2155,-6.3303,1.4413
-0.2155,-6.3303,1.4413
-1.2546,-7.5178,1.7478
-1.2546,-7.5178,1.7478
-3.3758,-9.5241,1.403
-3.3758,-9.5241,1.403
-4.3814,-10.3573,1.4461
-4.3814,-10.3573,1.4461
-3.6727,-9.8497,2.0734
-3.6727,-9.8497,2.0734
-1.8483,-8.078,2.6767
-1.8483,-8.078,2.6767
-1.8292,-5.5929,1.5275
-1.8292,-5.5929,1.5275
-2.241,-4.2521,0.6608
-2.241,-4.2521,0.6608
-2.1548,-4.5203,0.067
-2.1548,-4.5203,0.067
-3.2226,-7.0102,-0.7278
-3.2226,-7.0102,-0.7278
-5.2529,-9.3134,-1.0439
-5.2529,-9.3134,-1.0439
-6.268,-10.9942,-0.5555
-6.268,-10.9942,-0.5555
-6.7277,-11.3389,0.4357
-6.7277,-11.3389,0.4357
-6.9815,-10.3477,1.5562
-6.9815,-10.3477,1.5562
-6.043,-8.9064,1.5179
-6.043,-8.9064,1.5179
-5.7174,-8.5569,0.8045
-5.7174,-8.5569,0.8045
-5.7174,-8.5569,0.8045
-5.9855,-9.0405,-0.0335
-5.9855,-9.0405,-0.0335
-6.268,-10.4244,0.4932
-6.268,-10.4244,0.4932
-6.699,-11.5065,-1.8771
-6.699,-11.5065,-1.8771
-8.7245,-10.7643,-5.1236
-8.7245,-10.7643,-5.1236
-11.7699,-9.1506,-19.8384
-11.7699,-9.1506,-19.8384
-7.9918,-10.1227,-0.5315
-7.9918,-10.1227,-0.5315
-10.9319,-8.26,-6.7086
-12.6222,-7.6806,-6.3207
-12.6222,-7.6806,-6.3207
-11.3102,-9.4858,0.8763
-11.3102,-9.4858,0.8763
-11.2432,-12.7467,2.332
-11.2432,-12.7467,2.332
-8.1259,-14.6669,0.8859
-8.1259,-14.6669,0.8859
-5.7174,-16.5679,-0.5315
-5.7174,-16.5679,-0.5315
-6.2393,-19.4792,0.316
-6.2393,-19.4792,0.316
-2.6959,-22.3379,0.0766
-2.6959,-22.3379,0.0766
3.2753,-20.0395,2.0255
3.2753,-20.0395,2.0255
1.3934,-13.532,7.1251
1.3934,-13.532,7.1251
0.3208,-8.849,5.3726
0.158,-7.3023,3.2417
0.158,-7.3023,3.2417
-0.4453,-4.0558,-1.1588
-0.4453,-4.0558,-1.1588
-0.6943,-2.7677,-2.1261
-0.6943,-2.7677,-2.1261
-0.6943,-3.4285,0.9385
-0.6943,-3.4285,0.9385
-0.8092,-4.6208,3.6057
-0.8092,-4.6208,3.6057
2.2505,-5.4396,3.9073
2.2505,-5.4396,3.9073
3.6583,-5.2672,3.9361
3.6583,-5.2672,3.9361
4.0223,-4.8507,3.4955
4.0223,-4.8507,3.4955
4.9847,-4.616,2.6911
4.9847,-4.616,2.6911
5.7461,-5.9376,1.3551
5.7461,-5.9376,1.3551
5.7461,-5.9376,1.3551
3.8642,-10.2951,-3.395
-15.7347,-15.3277,-25.1391
-15.7347,-15.3277,-25.1391
-15.7347,-15.3277,-25.1391
-22.4049,-19.0243,3.9648
-22.0698,-11.813,2.4134
-22.0698,-11.813,2.4134
-22.0698,-11.813,2.4134
-13.1968,-6.177,-2.0925
-13.1968,-6.177,-2.0925
-7.9583,-2.1452,-0.4453
-7.9583,-2.1452,-0.4453
-4.1659,-3.1556,-1.1732
-4.1659,-3.1556,-1.1732
-3.395,-7.1204,2.9305
-3.395,-7.1204,2.9305
1.7573,-15.682,-6.6607
1.7573,-15.682,-6.6607
-2.2027,-22.381,-4.5346
-2.2027,-22.381,-4.5346
-2.1213,-17.9805,7.1491
-2.1213,-17.9805,7.1491
-2.3367,-9.9168,0.0335
-2.3367,-9.9168,0.0335
-0.4645,-7.7333,-0.2538
-0.4645,-7.7333,-0.2538
0.1293,-6.2345,0.3065
0.1293,-6.2345,0.3065
-0.7326,-6.1579,1.2689
-0.7326,-6.1579,1.2689
-2.4948,-7.7189,2.2889
-2.4948,-7.7189,2.2889
-2.7485,-9.2273,2.6671
-2.7485,-9.2273,2.6671
-1.6903,-8.8202,3.7445
-1.6903,-8.8202,3.7445
-1.3072,-7.5417,2.5235
-1.3072,-7.5417,2.5235
-2.1069,-6.0669,0.7709
-2.1069,-6.0669,0.7709
-1.8196,-5.2337,0.0766
-1.8196,-5.2337,0.0766
-1.5993,-5.8706,-0.0862
-1.5993,-5.8706,-0.0862
-2.715,-7.9296,-0.2777
-2.715,-7.9296,-0.2777
-4.6448,-9.9742,-0.3831
-4.6448,-9.9742,-0.3831
-5.8658,-11.0804,-0.0335
-5.8658,-11.0804,-0.0335
-6.6224,-11.382,0.4836
-6.6224,-11.382,0.4836
-6.5984,-10.4435,1.0104
-6.5984,-10.4435,1.0104
-6.1675,-8.8825,1.494
-6.1675,-8.8825,1.494
-6.2441,-8.1642,1.5323
-6.2441,-8.1642,1.5323
-6.7277,-9.4954,0.1101
-6.7277,-9.4954,0.1101
-8.2313,-10.9846,0.2586
-8.2313,-10.9846,0.2586
-8.2313,-10.9846,0.2586
-9.3374,-11.0708,-1.1923
-9.9359,-10.2663,-9.2847
-9.9359,-10.2663,-9.2847
-12.2152,-9.5768,-18.0762
-12.2152,-9.5768,-18.0762
-10.5967,-9.8593,2.7485
-10.5967,-9.8593,2.7485
