ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²)
14.6812,19.6229,-3.4046
8.2073,10.1706,0.6321
5.1954,7.7093,0.34
5.1954,7.7093,0.34
2.2697,5.8179,-0.0335
2.2697,5.8179,-0.0335
4.3239,5.8658,0.4262
5.6024,8.1642,1.4365
5.6024,8.1642,1.4365
6.0621,11.0756,1.087
6.0621,11.0756,1.087
4.5155,9.0118,0.1915
3.3519,8.6143,1.2785
3.3519,8.6143,1.2785
3.0263,8.3893,2.6576
3.0263,8.3893,2.6576
3.9504,8.6431,2.5283
3.9504,8.6431,2.5283
4.4436,8.9687,2.1069
4.4436,8.9687,2.1069
5.0901,9.481,1.312
4.6304,9.2464,0.3639
4.6304,9.2464,0.3639
4.2713,8.8107,0.1676
4.2713,8.8107,0.1676
4.5155,7.6279,-0.2346
4.5921,6.7373,-0.7566
4.5921,6.7373,-0.7566
4.64,6.3255,-0.8954
4.64,6.3255,-0.8954
4.7501,6.0813,-0.9673
4.7501,6.0813,-0.9673
4.8602,6.2106,-0.7614
4.9416,6.3782,-0.5171
4.9416,6.3782,-0.5171
4.8267,6.7612,0.182
4.8267,6.7612,0.182
4.7597,6.9192,0.5171
4.7597,6.9192,0.5171
4.616,6.924,0.6081
4.3574,6.9528,0.5076
4.3574,6.9528,0.5076
4.3574,6.9528,0.5076
4.0127,7.2449,0.4022
4.0127,7.2449,0.4022
4.0127,7.2449,0.4022
4.6591,7.8003,0.2729
4.6591,7.8003,0.2729
4.6591,7.8003,0.2729
4.8028,8.2839,-0.067
3.5769,8.5377,-3.2657
3.5769,8.5377,-3.2657
5.1954,8.5377,1.2019
4.5633,8.9304,2.8252
4.5633,8.9304,2.8252
3.3806,9.3518,0.4741
3.3806,9.3518,0.4741
3.8738,9.2081,-1.968
3.8738,9.2081,-1.968
5.0039,9.1219,-1.2594
3.8259,9.1315,0.182
3.8259,9.1315,0.182
3.644,9.2464,1.1684
3.644,9.2464,1.1684
5.8179,8.4755,-0.3926
5.7557,8.5665,-0.0766
5.7557,8.5665,-0.0766
5.5402,9.0022,-0.1197
5.5402,9.0022,-0.1197
5.6264,9.5193,0.7326
5.6264,9.5193,0.7326
5.1763,9.5289,1.6759
5.1763,9.5289,1.6759
5.1763,9.5289,1.6759
4.367,9.8545,1.8723
4.367,9.8545,1.8723
4.6256,10.1849,1.5371
5.2241,10.7069,1.0726
5.2241,10.7069,1.0726
5.3151,10.9463,0.8763
5.3151,10.9463,0.8763
6.1052,12.0045,0.8092
6.9192,13.4746,2.0159
6.9192,13.4746,2.0159
6.4883,14.03,2.5139
6.4883,14.03,2.5139
5.5019,14.8584,-2.2362
5.5019,14.8584,-2.2362
6.8426,11.8944,-6.6224
5.5641,11.2958,4.3958
5.5641,11.2958,4.3958
5.3726,10.5441,-0.0814
5.3726,10.5441,-0.0814
6.3159,9.7157,-3.7014
5.047,9.8976,-1.9345
5.047,9.8976,-1.9345
5.047,9.8976,-1.9345
5.047,9.8976,-1.9345
3.7014,8.4132,1.719
3.7014,8.4132,1.719
4.2617,6.6702,1.0056
4.2617,6.6702,1.0056
6.1435,6.1148,0.1963
6.1435,6.1148,0.1963
5.8802,6.8666,0.0527
5.8802,6.8666,0.0527
7.106,7.9727,-2.1644
7.106,7.9727,-2.1644
5.9759,9.2512,-4.865
5.9759,9.2512,-4.865
6.1004,7.5226,5.6216
6.1004,7.5226,5.6216
4.2521,6.6942,4.8842
4.2521,6.6942,4.8842
